City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kenora,49.8167,-94.4337,20.54,83,100,3.6,CA,Mon Jul 22 18:36:52 2024
1,edinburgh of the seven seas,-37.0676,-12.3116,12.93,78,100,10.82,SH,Mon Jul 22 18:36:54 2024
2,papatowai,-46.5619,169.4708,9.5,74,94,3.99,NZ,Mon Jul 22 18:36:55 2024
3,ushuaia,-54.8,-68.3,3.81,75,40,10.8,AR,Mon Jul 22 18:36:57 2024
4,port-aux-francais,-49.35,70.2167,3.16,69,55,3.85,TF,Mon Jul 22 18:36:58 2024
5,albany,42.6001,-73.9662,23.57,59,100,1.37,US,Mon Jul 22 18:34:32 2024
6,bethel,41.3712,-73.414,24.77,83,100,1.89,US,Mon Jul 22 18:37:01 2024
7,port mathurin,-19.6833,63.4167,22.84,66,16,7.17,MU,Mon Jul 22 18:37:03 2024
8,sao joao da barra,-21.6403,-41.0511,21.05,88,0,2.38,BR,Mon Jul 22 18:37:04 2024
9,bakchar,57.0186,82.0711,13.68,94,100,1.57,RU,Mon Jul 22 18:37:06 2024
10,blackmans bay,-43.0167,147.3167,15.07,69,100,0.89,AU,Mon Jul 22 18:37:07 2024
11,williamsport,41.2412,-77.0011,22.28,94,100,0.0,US,Mon Jul 22 18:37:08 2024
12,petukhovo,55.0692,67.9019,17.14,96,100,2.29,RU,Mon Jul 22 18:37:10 2024
13,casablanca,33.5928,-7.6192,25.18,73,0,1.79,MA,Mon Jul 22 18:28:56 2024
14,bredasdorp,-34.5322,20.0403,7.12,87,0,1.87,ZA,Mon Jul 22 18:37:13 2024
15,ghadamis,30.1337,9.5007,33.55,17,0,3.4,LY,Mon Jul 22 18:37:14 2024
16,hamilton,39.1834,-84.5333,27.19,73,40,1.79,US,Mon Jul 22 18:37:16 2024
17,saipan,15.1355,145.701,32.39,70,20,5.66,MP,Mon Jul 22 18:37:17 2024
18,kudahuvadhoo,2.6708,72.8944,28.8,73,100,2.71,MV,Mon Jul 22 18:37:19 2024
19,grytviken,-54.2811,-36.5092,-1.14,94,73,4.67,GS,Mon Jul 22 18:37:20 2024
20,labytnangi,66.6572,66.4183,10.07,70,100,3.6,RU,Mon Jul 22 18:37:21 2024
21,raduzhny,62.0961,77.475,12.39,52,14,4.03,RU,Mon Jul 22 18:37:23 2024
22,praia da vitoria,38.7333,-27.0667,23.75,78,20,2.42,PT,Mon Jul 22 18:37:25 2024
23,chibougamau,49.9168,-74.3659,14.79,58,100,2.06,CA,Mon Jul 22 18:37:26 2024
24,kristiansund,63.1115,7.732,13.03,96,100,1.03,NO,Mon Jul 22 18:37:27 2024
25,tiksi,71.6872,128.8694,6.38,88,98,2.72,RU,Mon Jul 22 18:37:29 2024
26,santa elena de uairen,4.6167,-61.1333,18.98,96,100,0.73,VE,Mon Jul 22 18:37:31 2024
27,kingston,17.997,-76.7936,30.53,74,20,7.2,JM,Mon Jul 22 18:37:32 2024
28,hami,42.8,93.45,27.82,25,100,7.01,CN,Mon Jul 22 18:37:34 2024
29,waitangi,-43.9535,-176.5597,9.34,99,100,4.47,NZ,Mon Jul 22 18:37:37 2024
30,zhaogezhuang,39.7667,118.4,31.04,65,0,2.04,CN,Mon Jul 22 18:37:39 2024
31,cozumel,20.5083,-86.9458,30.04,84,75,4.12,MX,Mon Jul 22 18:37:40 2024
32,nemuro,43.3236,145.575,21.55,81,100,5.67,JP,Mon Jul 22 18:37:42 2024
33,trzebiatow,54.0615,15.2648,18.81,81,56,5.09,PL,Mon Jul 22 18:37:43 2024
34,roma,43.2128,-75.4557,22.6,94,100,2.34,US,Mon Jul 22 18:37:45 2024
35,cabo san lucas,22.8909,-109.9124,35.34,63,6,7.21,MX,Mon Jul 22 18:27:41 2024
36,lebu,-37.6167,-73.65,7.96,85,33,1.26,CL,Mon Jul 22 18:37:48 2024
37,richards bay,-28.783,32.0377,18.23,74,61,2.08,ZA,Mon Jul 22 18:37:49 2024
38,kourou,5.1552,-52.6478,27.03,82,44,4.41,GF,Mon Jul 22 18:36:54 2024
39,utrik,11.2278,169.8474,28.08,77,25,6.81,MH,Mon Jul 22 18:37:52 2024
40,colonia general alfredo stroessner,-25.3667,-55.7,17.0,79,5,1.85,PY,Mon Jul 22 18:37:53 2024
41,mawu,34.4307,104.9176,15.53,99,100,2.21,CN,Mon Jul 22 18:37:55 2024
42,wailua homesteads,22.0669,-159.378,28.44,71,40,6.69,US,Mon Jul 22 18:37:56 2024
43,adamstown,-25.066,-130.1015,18.8,70,4,7.47,PN,Mon Jul 22 18:37:58 2024
44,avarua,-21.2078,-159.775,25.03,61,40,6.69,CK,Mon Jul 22 18:38:01 2024
45,karachev,53.1229,34.9852,14.52,93,9,1.44,RU,Mon Jul 22 18:38:02 2024
46,dauphin,51.1494,-100.0502,22.08,83,75,6.69,CA,Mon Jul 22 18:38:03 2024
47,acarau,-2.8856,-40.12,25.4,82,0,7.57,BR,Mon Jul 22 18:38:05 2024
48,kizhinga,51.8462,109.9097,22.48,61,100,1.16,RU,Mon Jul 22 18:38:06 2024
49,keflavik,64.0049,-22.5624,9.95,100,100,5.14,IS,Mon Jul 22 18:38:08 2024
50,bilibino,68.0546,166.4372,25.32,51,2,5.34,RU,Mon Jul 22 18:38:09 2024
51,masterton,-40.9597,175.6575,11.6,62,54,5.66,NZ,Mon Jul 22 18:38:11 2024
52,enewetak,11.3474,162.3373,28.46,80,82,7.57,MH,Mon Jul 22 18:38:12 2024
53,georgetown,5.4112,100.3354,28.96,89,20,1.54,MY,Mon Jul 22 18:38:14 2024
54,ferry pass,30.5102,-87.2125,29.25,80,0,5.14,US,Mon Jul 22 18:33:47 2024
55,hithadhoo,-0.6,73.0833,28.97,76,19,5.76,MV,Mon Jul 22 18:38:16 2024
56,ilomantsi,62.6716,30.9328,10.39,80,8,1.58,FI,Mon Jul 22 18:38:18 2024
57,thompson,55.7435,-97.8558,21.09,37,20,2.06,CA,Mon Jul 22 18:38:19 2024
58,floro,61.5996,5.0328,13.98,82,12,4.63,NO,Mon Jul 22 18:38:21 2024
59,telsiai,55.9814,22.2472,18.35,75,100,2.74,LT,Mon Jul 22 18:38:22 2024
60,west island,-12.1568,96.8225,26.99,78,6,5.66,CC,Mon Jul 22 18:38:24 2024
61,holualoa,19.6228,-155.9522,26.91,80,40,4.63,US,Mon Jul 22 18:33:34 2024
62,howrah,22.5892,88.3103,27.0,100,75,2.06,IN,Mon Jul 22 18:38:26 2024
63,pacasmayo,-7.4006,-79.5714,16.63,85,5,5.61,PE,Mon Jul 22 18:38:28 2024
64,kachug,53.9606,105.8817,20.52,88,100,1.72,RU,Mon Jul 22 18:38:29 2024
65,margate,51.3813,1.3862,17.72,84,77,5.59,GB,Mon Jul 22 18:38:31 2024
